facilityname,updateddate,addeddate,reportdate,coverall,surgmask,shoe_cover,face_shield,head_cover,n95mask,goggles,gloves,gown,vtm,nps,ops,weekly_reportdate,region,province,city_mun,bgy,region_psgc,province_psgc,city_mun_psgc,bgy_psgc
RHU ABULUG,2020-06-07 11:07:58 UTC,2020-06-07 11:07:58 UTC,2020-06-07 00:00:00 UTC,0,650,0,0,0,0,0,0,0,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,ABULUG,CENTRO (POB.),PH020000000,PH021500000,PH021501000,PH021501007
NATIONAL CHILD DEVELOPMENT CENTER,2020-06-07 18:28:17 UTC,2020-06-07 18:28:17 UTC,2020-06-07 00:00:00 UTC,3,0,3,17,3,0,17,500,3,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,ALLACAPAN,DAAN-ILI,PH020000000,PH021500000,PH021503000,PH021503012
AMULUNG QUARANTINE FACILITY,2020-06-05 11:44:37 UTC,2020-06-05 11:44:37 UTC,2020-05-31 00:00:00 UTC,0,90,0,0,90,0,0,150,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,AMULUNG,ANNAFATAN,PH020000000,PH021500000,PH021504000,PH021504005
BALLESTEROS LGU GUEST HOUSE,2020-05-29 10:59:33 UTC,2020-05-29 10:59:33 UTC,2020-05-24 00:00:00 UTC,0,0,0,0,0,0,0,150,0,0,0,0,2020-05-24 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BALLESTEROS,CENTRO EAST (POB.),PH020000000,PH021500000,PH021507000,PH021507008
BALLESTEROS LGU GUEST HOUSE,2020-06-05 13:54:51 UTC,2020-06-05 13:54:51 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,150,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BALLESTEROS,CENTRO EAST (POB.),PH020000000,PH021500000,PH021507000,PH021507008
CRAB HOTEL,2020-05-31 09:41:32 UTC,2020-05-31 09:41:32 UTC,2020-05-31 00:00:00 UTC,200,100,50,40,100,50,30,200,30,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BUGUEY,CENTRO (POB.),PH020000000,PH021500000,PH021508000,PH021508005
CRAB HOTEL,2020-06-07 06:52:58 UTC,2020-06-07 06:52:58 UTC,2020-06-07 00:00:00 UTC,190,90,45,35,90,45,26,180,26,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,BUGUEY,CENTRO (POB.),PH020000000,PH021500000,PH021508000,PH021508005
DEPARTMENT OF AGRICULTURE-SOUTHERN CAGAYAN RESEARCH CENTER,2020-06-05 08:35:26 UTC,2020-06-05 08:35:26 UTC,2020-05-31 00:00:00 UTC,10,100,0,10,0,0,10,100,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,IGUIG,MINANGA NORTE,PH020000000,PH021500000,PH021515000,PH021515015
LASAM LIGTAS COVID CENTER,2020-06-05 09:44:02 UTC,2020-06-05 09:44:02 UTC,2020-05-31 00:00:00 UTC,10,100,10,10,10,10,10,50,10,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,LASAM,CENTRO III (POB.),PH020000000,PH021500000,PH021517000,PH021517032
PAMPLONA CULTURAL AND SPORTS CENTER,2020-06-05 11:35:30 UTC,2020-06-05 11:35:30 UTC,2020-05-31 00:00:00 UTC,24,100,0,0,0,0,0,100,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,PAMPLONA,CENTRO (POB.),PH020000000,PH021500000,PH021518000,PH021518009
BALAY SILANGAN,2020-06-05 11:03:56 UTC,2020-06-05 11:03:56 UTC,2020-05-31 00:00:00 UTC,180,300,180,5,100,180,180,600,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,SANTA ANA,DIORA-ZINUNGAN,PH020000000,PH021500000,PH021523000,PH021523004
LEANDRO PAGURAYAN SR. MEMORIAL GYMNASIUM/ BAHAY SILANGAN,2020-06-05 09:43:43 UTC,2020-06-05 09:43:43 UTC,2020-05-31 00:00:00 UTC,150,2000,150,150,250,100,150,500,0,1,1,1,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,SANTO NIÑO (FAIRE),CENTRO SUR (POB.),PH020000000,PH021500000,PH021526000,PH021526011
REGIONAL EVACUATION CENTER,2020-06-05 12:17:41 UTC,2020-06-05 12:17:41 UTC,2020-05-31 00:00:00 UTC,99,25150,8,135,128,1340,76,400,23,1,1,1,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,TUAO,LALLAYUG,PH020000000,PH021500000,PH021528000,PH021528017
REGIONAL EVACUATION CENTER,2020-06-06 18:05:26 UTC,2020-06-06 18:05:26 UTC,2020-05-31 00:00:00 UTC,6,132,50,70,50,320,50,420,50,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,TUAO,LALLAYUG,PH020000000,PH021500000,PH021528000,PH021528017
CASSILY LAKE RESORT,2020-06-05 11:48:17 UTC,2020-06-05 11:48:17 UTC,2020-05-31 00:00:00 UTC,10,10,10,10,10,7,0,10,10,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),CAGAYAN,TUAO,NARUANGAN,PH020000000,PH021500000,PH021528000,PH021528023
ROXAS QUARANTINE FACILITY (ISU RANG-AYAN CAMPUS),2020-05-22 09:40:17 UTC,2020-05-22 09:40:17 UTC,2020-05-17 00:00:00 UTC,30,300,180,100,200,100,14,500,180,2,2,1,2020-05-17 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,ROXAS,RANG-AYAN,PH020000000,PH023100000,PH023126000,PH023126016
ROXAS QUARANTINE FACILITY (ISU RANG-AYAN CAMPUS),2020-05-29 08:39:22 UTC,2020-05-29 08:39:22 UTC,2020-05-24 00:00:00 UTC,20,50,100,100,100,100,15,500,50,3,2,1,2020-05-24 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,ROXAS,RANG-AYAN,PH020000000,PH023100000,PH023126000,PH023126016
ROXAS QUARANTINE FACILITY (ISU RANG-AYAN CAMPUS),2020-06-07 10:59:38 UTC,2020-06-07 10:59:38 UTC,2020-06-07 00:00:00 UTC,50,150,70,70,70,200,20,500,70,8,3,5,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,ROXAS,RANG-AYAN,PH020000000,PH023100000,PH023126000,PH023126016
HALF WAY HOME,2020-05-24 14:30:23 UTC,2020-05-24 14:30:23 UTC,2020-05-24 00:00:00 UTC,87,2000,87,87,87,250,87,6000,87,0,0,0,2020-05-24 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN GUILLERMO,CENTRO 1 (POB.),PH020000000,PH023100000,PH023128000,PH023128004
HALF WAY HOME,2020-05-31 07:35:34 UTC,2020-05-31 07:35:34 UTC,2020-05-31 00:00:00 UTC,87,1900,87,87,87,250,87,5900,87,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN GUILLERMO,CENTRO 1 (POB.),PH020000000,PH023100000,PH023128000,PH023128004
HALF WAY HOME,2020-06-07 15:11:48 UTC,2020-06-07 15:11:48 UTC,2020-06-07 00:00:00 UTC,87,1850,87,87,87,250,87,5800,87,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN GUILLERMO,CENTRO 1 (POB.),PH020000000,PH023100000,PH023128000,PH023128004
RHU SAN MATEO,2020-05-22 11:33:34 UTC,2020-05-22 11:33:34 UTC,2020-05-17 00:00:00 UTC,163,1800,66,160,273,40,19,999,93,0,0,0,2020-05-17 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN MATEO,BARANGAY IV (POB.),PH020000000,PH023100000,PH023132000,PH023132020
RHU SAN MATEO,2020-05-29 09:09:13 UTC,2020-05-29 09:09:13 UTC,2020-05-24 00:00:00 UTC,141,1550,56,157,268,49,17,500,69,0,3,3,2020-05-24 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN MATEO,BARANGAY IV (POB.),PH020000000,PH023100000,PH023132000,PH023132020
RHU SAN MATEO,2020-06-05 09:06:24 UTC,2020-06-05 09:06:24 UTC,2020-05-31 00:00:00 UTC,126,1500,40,140,250,49,17,500,69,0,3,2,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),ISABELA,SAN MATEO,BARANGAY IV (POB.),PH020000000,PH023100000,PH023132000,PH023132020
BONE SOUTH DAYCARE CENTER ISOLATION FACILITY,2020-06-07 18:07:00 UTC,2020-06-07 18:07:00 UTC,2020-06-07 00:00:00 UTC,1,1,1,1,1,1,1,1,1,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,ARITAO,BONE SOUTH,PH020000000,PH025000000,PH025002000,PH025002004
BONFAL WEST MULTIPURPOSE HALL BARANGAY ISOLATION UNIT,2020-06-05 16:22:20 UTC,2020-06-05 16:22:20 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,BAYOMBONG (CAPITAL),BONFAL WEST,PH020000000,PH025000000,PH025005000,PH025005003
BONFAL WEST MULTIPURPOSE HALL BARANGAY ISOLATION UNIT,2020-06-07 07:19:25 UTC,2020-06-07 07:19:25 UTC,2020-06-07 00:00:00 UTC,10,45,20,4,28,8,7,98,3,0,0,0,2020-06-07 00:00:00 UTC,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,BAYOMBONG (CAPITAL),BONFAL WEST,PH020000000,PH025000000,PH025005000,PH025005003
DISTRICT IV CDC BARANGAY ISOLATION UNIT,2020-06-05 16:24:15 UTC,2020-06-05 16:24:15 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,BAYOMBONG (CAPITAL),DISTRICT IV (POB.),PH020000000,PH025000000,PH025005000,PH025005017
LUYANG CDC BARANGAY ISOLATION UNIT,2020-06-05 16:20:09 UTC,2020-06-05 16:20:09 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,BAYOMBONG (CAPITAL),LUYANG,PH020000000,PH025000000,PH025005000,PH025005024
MARIVELES MENTAL WELLNESS AND GENERAL HOSPITAL,2020-05-29 18:53:06 UTC,2020-05-29 18:53:06 UTC,2020-05-24 00:00:00 UTC,3095,47250,981,1944,1451,150,366,2400,2899,38,18,40,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),BATAAN,MARIVELES,POBLACION,PH030000000,PH030800000,PH030807000,PH030807008
MARIVELES MENTAL WELLNESS AND GENERAL HOSPITAL,2020-06-05 14:05:41 UTC,2020-06-05 14:05:41 UTC,2020-05-31 00:00:00 UTC,3220,68050,966,2155,1436,150,366,2300,2909,33,16,36,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),BATAAN,MARIVELES,POBLACION,PH030000000,PH030800000,PH030807000,PH030807008
CABIAO CENTRAL SCHOOL,2020-05-29 16:37:49 UTC,2020-05-29 16:37:49 UTC,2020-05-24 00:00:00 UTC,80,140,20,10,20,250,2,450,20,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),NUEVA ECIJA,CABIAO,MALIGAYA,PH030000000,PH034900000,PH034904000,PH034904006
CABIAO CENTRAL SCHOOL,2020-06-06 05:57:27 UTC,2020-06-06 05:57:27 UTC,2020-05-31 00:00:00 UTC,76,140,26,10,26,230,1,350,26,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),NUEVA ECIJA,CABIAO,MALIGAYA,PH030000000,PH034900000,PH034904000,PH034904006
DR. FLORENTINO DOBLE MEMORIAL HOSPITAL COMMUNITY ISOLATION UNIT (EXTENSION),2020-05-23 12:25:47 UTC,2020-05-23 12:25:47 UTC,2020-05-17 00:00:00 UTC,0,200,0,10,0,40,0,0,2,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,BOTOLAN,TAUGTOG,PH030000000,PH037100000,PH037101000,PH037101023
DR. FLORENTINO DOBLE MEMORIAL HOSPITAL COMMUNITY ISOLATION UNIT (EXTENSION),2020-05-31 09:09:30 UTC,2020-05-31 09:09:30 UTC,2020-05-31 00:00:00 UTC,0,600,0,10,0,100,0,0,150,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,BOTOLAN,TAUGTOG,PH030000000,PH037100000,PH037101000,PH037101023
DR. FLORENTINO DOBLE MEMORIAL HOSPITAL COMMUNITY ISOLATION UNIT (EXTENSION),2020-06-07 08:13:37 UTC,2020-06-07 08:13:37 UTC,2020-06-07 00:00:00 UTC,0,500,0,10,0,90,0,0,100,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,BOTOLAN,TAUGTOG,PH030000000,PH037100000,PH037101000,PH037101023
CABANGAN ELEMENTARY SCHOOL,2020-05-23 12:26:51 UTC,2020-05-23 12:26:51 UTC,2020-05-17 00:00:00 UTC,0,0,0,14,0,0,0,0,4,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CABANGAN,DOLORES (POB.),PH030000000,PH037100000,PH037102000,PH037102010
CABANGAN ELEMENTARY SCHOOL,2020-05-31 09:11:06 UTC,2020-05-31 09:11:06 UTC,2020-05-31 00:00:00 UTC,0,0,0,14,0,0,0,0,5,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CABANGAN,DOLORES (POB.),PH030000000,PH037100000,PH037102000,PH037102010
CABANGAN ELEMENTARY SCHOOL,2020-06-07 08:15:11 UTC,2020-06-07 08:15:11 UTC,2020-06-07 00:00:00 UTC,0,0,0,14,0,0,0,0,50,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CABANGAN,DOLORES (POB.),PH030000000,PH037100000,PH037102000,PH037102010
COVID 19 QUARANTINE AREA,2020-05-23 12:28:20 UTC,2020-05-23 12:28:20 UTC,2020-05-17 00:00:00 UTC,0,250,0,20,0,0,0,0,60,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CANDELARIA,CATOL,PH030000000,PH037100000,PH037103000,PH037103003
COVID 19 QUARANTINE AREA,2020-05-31 09:12:37 UTC,2020-05-31 09:12:37 UTC,2020-05-31 00:00:00 UTC,0,50,0,20,0,0,0,0,55,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CANDELARIA,CATOL,PH030000000,PH037100000,PH037103000,PH037103003
COVID 19 QUARANTINE AREA,2020-06-07 08:16:43 UTC,2020-06-07 08:16:43 UTC,2020-06-07 00:00:00 UTC,0,0,0,15,0,0,0,0,55,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,CANDELARIA,CATOL,PH030000000,PH037100000,PH037103000,PH037103003
MASINLOC GYMNASIUM,2020-05-23 12:33:04 UTC,2020-05-23 12:33:04 UTC,2020-05-17 00:00:00 UTC,0,172,0,50,0,0,0,0,92,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,MASINLOC,SOUTH POBLACION,PH030000000,PH037100000,PH037106000,PH037106011
MASINLOC GYMNASIUM,2020-05-31 09:22:11 UTC,2020-05-31 09:22:11 UTC,2020-05-31 00:00:00 UTC,0,172,0,50,0,0,0,0,92,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,MASINLOC,SOUTH POBLACION,PH030000000,PH037100000,PH037106000,PH037106011
MASINLOC GYMNASIUM,2020-06-07 08:24:29 UTC,2020-06-07 08:24:29 UTC,2020-06-07 00:00:00 UTC,0,100,0,40,0,0,0,0,80,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,MASINLOC,SOUTH POBLACION,PH030000000,PH037100000,PH037106000,PH037106011
MUNICIPAL EVACUATION CENTER,2020-05-23 13:06:54 UTC,2020-05-23 13:06:54 UTC,2020-05-17 00:00:00 UTC,0,150,0,25,0,20,0,0,14,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,PALAUIG,EAST POBLACION,PH030000000,PH037100000,PH037108000,PH037108013
MUNICIPAL EVACUATION CENTER,2020-05-22 09:47:58 UTC,2020-05-22 09:47:58 UTC,2020-05-17 00:00:00 UTC,2,2,2,2,2,2,2,50,2,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,PALAUIG,EAST POBLACION,PH030000000,PH037100000,PH037108000,PH037108013
MUNICIPAL EVACUATION CENTER,2020-05-29 14:56:01 UTC,2020-05-29 14:56:01 UTC,2020-05-24 00:00:00 UTC,2,5,5,5,5,5,5,50,5,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,PALAUIG,EAST POBLACION,PH030000000,PH037100000,PH037108000,PH037108013
MUNICIPAL EVACUATION CENTER,2020-06-05 11:49:09 UTC,2020-06-05 11:49:09 UTC,2020-05-31 00:00:00 UTC,5,5,5,5,5,5,5,50,5,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,PALAUIG,EAST POBLACION,PH030000000,PH037100000,PH037108000,PH037108013
MUNICIPAL EVACUATION CENTER,2020-05-31 09:25:01 UTC,2020-05-31 09:25:01 UTC,2020-05-31 00:00:00 UTC,0,150,17,25,0,20,15,8,14,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,PALAUIG,EAST POBLACION,PH030000000,PH037100000,PH037108000,PH037108013
SAN ANTONIO EVENT CENTER,2020-05-23 13:15:20 UTC,2020-05-23 13:15:20 UTC,2020-05-17 00:00:00 UTC,0,500,0,140,0,50,0,0,14,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN ANTONIO,ANTIPOLO (POB.),PH030000000,PH037100000,PH037109000,PH037109002
SAN ANTONIO EVENT CENTER,2020-05-31 09:26:27 UTC,2020-05-31 09:26:27 UTC,2020-05-31 00:00:00 UTC,0,100,0,30,0,100,0,0,60,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN ANTONIO,ANTIPOLO (POB.),PH030000000,PH037100000,PH037109000,PH037109002
SAN ANTONIO EVENT CENTER,2020-06-07 08:27:42 UTC,2020-06-07 08:27:42 UTC,2020-06-07 00:00:00 UTC,0,50,0,20,0,80,0,0,40,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN ANTONIO,ANTIPOLO (POB.),PH030000000,PH037100000,PH037109000,PH037109002
SAN MARCELINO LIGTAS COVID-19 CENTER,2020-05-23 13:39:56 UTC,2020-05-23 13:39:56 UTC,2020-05-17 00:00:00 UTC,0,950,0,21,0,70,0,0,50,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN MARCELINO,RABANES,PH030000000,PH037100000,PH037111000,PH037111020
SAN MARCELINO LIGTAS COVID-19 CENTER,2020-05-31 09:29:06 UTC,2020-05-31 09:29:06 UTC,2020-05-31 00:00:00 UTC,0,950,0,21,0,70,0,0,50,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN MARCELINO,RABANES,PH030000000,PH037100000,PH037111000,PH037111020
SAN MARCELINO LIGTAS COVID-19 CENTER,2020-06-07 08:33:05 UTC,2020-06-07 08:33:05 UTC,2020-06-07 00:00:00 UTC,0,800,0,20,0,70,0,0,40,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SAN MARCELINO,RABANES,PH030000000,PH037100000,PH037111000,PH037111020
"MUNICIPAL ISOLATION, STA CRUZ, ZAMBALES",2020-05-23 13:55:07 UTC,2020-05-23 13:55:07 UTC,2020-05-17 00:00:00 UTC,0,0,0,0,0,59,0,0,48,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SANTA CRUZ,POBLACION SOUTH,PH030000000,PH037100000,PH037113000,PH037113024
"MUNICIPAL ISOLATION, STA CRUZ, ZAMBALES",2020-05-31 09:31:30 UTC,2020-05-31 09:31:30 UTC,2020-05-31 00:00:00 UTC,0,400,0,38,0,86,0,0,29,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SANTA CRUZ,POBLACION SOUTH,PH030000000,PH037100000,PH037113000,PH037113024
"MUNICIPAL ISOLATION, STA CRUZ, ZAMBALES",2020-06-07 08:36:02 UTC,2020-06-07 08:36:02 UTC,2020-06-07 00:00:00 UTC,0,350,0,38,0,50,0,0,10,0,0,0,2020-06-07 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SANTA CRUZ,POBLACION SOUTH,PH030000000,PH037100000,PH037113000,PH037113024
SUBIC COVID-19 INTERAGENCY TASK FORCE (SUBIC RHU),2020-05-23 14:02:32 UTC,2020-05-23 14:02:32 UTC,2020-05-17 00:00:00 UTC,0,3900,0,0,0,0,0,0,5,0,0,0,2020-05-17 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SUBIC,CAWAG,PH030000000,PH037100000,PH037114000,PH037114011
SUBIC COVID-19 INTERAGENCY TASK FORCE (SUBIC RHU),2020-05-31 09:34:10 UTC,2020-05-31 09:34:10 UTC,2020-05-31 00:00:00 UTC,0,8500,0,0,0,0,0,300,3,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),ZAMBALES,SUBIC,CAWAG,PH030000000,PH037100000,PH037114000,PH037114011
BALER MUNICIPAL LIBRARY,2020-05-29 17:24:49 UTC,2020-05-29 17:24:49 UTC,2020-05-24 00:00:00 UTC,15,100,15,15,15,0,0,100,15,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,BALER (CAPITAL),RESERVA,PH030000000,PH037700000,PH037701000,PH037701010
BALER MUNICIPAL LIBRARY,2020-06-05 10:51:02 UTC,2020-06-05 10:51:02 UTC,2020-05-31 00:00:00 UTC,15,100,15,15,15,0,0,100,15,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,BALER (CAPITAL),RESERVA,PH030000000,PH037700000,PH037701000,PH037701010
BALER MUNICIPAL EVACUATION CENTER,2020-05-29 17:25:50 UTC,2020-05-29 17:25:50 UTC,2020-05-24 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,BALER (CAPITAL),SUCLAYIN,PH030000000,PH037700000,PH037701000,PH037701012
BALER MUNICIPAL EVACUATION CENTER,2020-06-05 11:47:43 UTC,2020-06-05 11:47:43 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,BALER (CAPITAL),SUCLAYIN,PH030000000,PH037700000,PH037701000,PH037701012
CASIGURAN MUNICIPAL LIBRARY,2020-05-29 15:12:46 UTC,2020-05-29 15:12:46 UTC,2020-05-24 00:00:00 UTC,2,10,5,5,5,2,2,10,10,2,0,2,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,CASIGURAN,BARANGAY 7 (POB.),PH030000000,PH037700000,PH037702000,PH037702007
CASIGURAN MUNICIPAL LIBRARY,2020-06-05 11:54:19 UTC,2020-06-05 11:54:19 UTC,2020-05-31 00:00:00 UTC,2,15,2,15,15,5,2,15,2,2,0,2,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,CASIGURAN,BARANGAY 7 (POB.),PH030000000,PH037700000,PH037702000,PH037702007
DILASAG MUNICIPAL MAIN EVACUATION CENTER,2020-05-29 08:49:19 UTC,2020-05-29 08:49:19 UTC,2020-05-24 00:00:00 UTC,0,2500,90,7,160,1300,29,10,7,3,0,3,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DILASAG,MALIGAYA (POB.),PH030000000,PH037700000,PH037703000,PH037703007
DILASAG MUNICIPAL MAIN EVACUATION CENTER,2020-06-05 16:25:07 UTC,2020-06-05 16:25:07 UTC,2020-05-31 00:00:00 UTC,3,2500,90,7,160,1300,24,10,10,3,0,3,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DILASAG,MALIGAYA (POB.),PH030000000,PH037700000,PH037703000,PH037703007
DINALUNGAN MUNICIPAL EVACUATION CENTER,2020-06-05 08:32:19 UTC,2020-06-05 08:30:18 UTC,2020-05-31 00:00:00 UTC,4,0,4,4,4,4,4,8,4,5,0,5,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DINALUNGAN,ZONE II (POB.),PH030000000,PH037700000,PH037704000,PH037704003
DINGALAN COIVD ISOLATION FACILITY,2020-05-29 10:09:27 UTC,2020-05-29 10:09:27 UTC,2020-05-24 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DINGALAN,TANAWAN,PH030000000,PH037700000,PH037705000,PH037705011
DINGALAN COIVD ISOLATION FACILITY,2020-06-05 09:44:43 UTC,2020-06-05 09:44:43 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DINGALAN,TANAWAN,PH030000000,PH037700000,PH037705000,PH037705011
TANAWAN EVACUATION CENTER,2020-05-29 10:08:13 UTC,2020-05-29 10:08:13 UTC,2020-05-24 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-24 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DINGALAN,TANAWAN,PH030000000,PH037700000,PH037705000,PH037705011
TANAWAN EVACUATION CENTER,2020-06-05 09:36:56 UTC,2020-06-05 09:36:56 UTC,2020-05-31 00:00:00 UTC,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31 00:00:00 UTC,REGION III (CENTRAL LUZON),AURORA,DINGALAN,TANAWAN,PH030000000,PH037700000,PH037705000,PH037705011
RHU - CAMALIG II,2020-06-05 10:57:43 UTC,2020-06-05 10:57:43 UTC,2020-05-31 00:00:00 UTC,10,0,0,6,0,0,5,9000,25,0,0,0,2020-05-31 00:00:00 UTC,REGION V (BICOL REGION),ALBAY,CAMALIG,CABAG,PH050000000,PH050500000,PH050502000,PH050502010
LIGAO CHO NEW BUILDING,2020-06-05 14:39:50 UTC,2020-06-05 14:39:50 UTC,2020-05-31 00:00:00 UTC,110,6000,100,10,100,70,10,10000,8,0,0,0,2020-05-31 00:00:00 UTC,REGION V (BICOL REGION),ALBAY,CITY OF LIGAO,SANTA CRUZ (POB.),PH050000000,PH050500000,PH050508000,PH050508044
